14000 1000 fnp 256
12500 3000 fp 0.04
14500 1000 fp 0.08
15500 5500 fnp 32
3500 10000 fnp 128
19000 13500 fnp 160
17500 10500 fp 0.5
5000 1500 fnp 64
5000 2000 fp 0.04
17000 18500 fnp 96
6000 2000 fp 0.02
15500 8500 fnp 160
9500 17500 fnp 160
18000 4000 fnp 96
10500 18000 fp 0.02
16000 10000 fp 0.32
1000 15000 fp 0.16
5500 15000 fp 0.32
14000 6000 fnp 160
3000 1500 fp 0.32
16000 1000 fp 0.32
12500 11500 fnp 128
1500 3500 fp 0.16
12000 6500 fp 0.01
19000 3500 fnp 64
5000 12500 fnp 256
11500 19500 fp 0.08
9500 4000 fnp 160
3500 19000 fp 0.08
9500 12000 fnp 3072
6000 5000 fnp 3072
9000 9500 fnp 512
9000 18500 fp 0.16
9000 9000 fnp 1024
7500 4000 fp 0.16
8500 17500 fnp 1024
18500 6500 fp 0.08
9500 5500 fnp 64
10500 19000 fnp 64
7500 6000 fp 0.04
9500 5000 fnp 1024
19500 1000 fnp 512
3500 15000 fp 0.01
8000 19000 fp 0.02
12000 14500 fnp 1024
13500 9000 fnp 160
4500 7000 fnp 32
9000 13000 fnp 128
11000 1000 fp 0.32
13500 12500 fnp 3072
8500 3000 fp 0.02
9500 1000 fp 0.9
3000 7000 fnp 256
10000 18000 fp 0.01
4500 1000 fp 1.0
15000 9000 fnp 2048
12000 6000 fnp 2048
11000 17500 fnp 3072
6500 15000 fnp 2048
12000 11000 fnp 128
4500 8000 fnp 2048
18000 8500 fp 0.32
19500 1500 fnp 1024
19000 2000 fnp 128
18000 10500 fp 0.02
4000 11500 fp 0.04
16000 17000 fnp 1024
2000 13000 fnp 160
6500 2500 fnp 2048
6500 9500 fnp 512
8000 7500 fnp 2048
11000 12500 fp 0.01
2500 15500 fp 0.16
14000 17000 fnp 128
14000 15500 fnp 512
8500 1500 fnp 1024
15500 7500 fp 0.32
17000 9500 fp 0.08
13500 3500 fnp 64
15000 10500 fnp 1024
1000 14500 fp 0.01
3000 11000 fp 0.01
5500 19000 fnp 32
4500 15500 fnp 256
1000 4000 fnp 2048
2000 18000 fnp 96
13000 6500 fp 0.32
4000 19500 fnp 96
8000 1500 fp 0.04
1000 12500 fnp 3072
9500 6500 fnp 96
1000 10000 fp 0.04
4500 10500 fp 0.04
1000 11000 fnp 64
19500 1000 fnp 96
13500 16000 fnp 1024
18000 18000 fp 0.04
19000 8000 fp 0.16
10500 11000 fp 0.01
8000 5500 fp 0.02
11500 8000 fp 0.08
3000 15500 fnp 1024
2000 4500 fnp 512
11500 17000 fp 0.01
4500 17000 fnp 32
13000 15000 fnp 384
9500 10500 fnp 256
18500 10000 fnp 256
7500 6000 fnp 256
19000 10000 fp 0.32
12500 11500 fp 0.16
10000 17000 fnp 256
6500 5000 fp 0.9
7000 18500 fnp 384
16500 2500 fp 0.9
8000 11500 fp 0.04
11000 19500 fnp 384
11000 11500 fp 0.32
12000 15000 fnp 96
18000 3500 fp 0.02
14000 8000 fnp 3072
1000 1000 fp 1.0
9500 9000 fp 0.04
18500 9000 fp 0.64
14000 14000 fp 0.08
6000 5500 fnp 160
14500 16500 fp 0.02
3000 3000 fp 0.75
8500 18500 fnp 128
4500 19000 fnp 96
14500 15500 fp 0.02
1500 11500 fnp 512
14000 2500 fp 0.64
7500 15000 fp 0.02
10500 15500 fnp 384
4000 19000 fp 0.04
2000 1500 fnp 512
4000 4500 fp 0.01
7500 4500 fnp 512
11000 1500 fp 0.08
12000 2500 fnp 128
19000 12000 fnp 3072
10500 5500 fnp 32
9500 17000 fnp 3072
5000 10000 fp 0.5
4500 4500 fnp 4096
8000 13500 fp 0.02
11500 7500 fp 0.32
15000 13000 fnp 384
7500 7500 fp 0.16
12500 2500 fnp 64
8500 9500 fnp 32
10000 15000 fp 0.01
11500 4500 fnp 160
2500 3000 fp 0.64
5500 4500 fp 0.75
15500 19000 fp 0.16
14500 13500 fp 0.01
9000 12000 fnp 2048
2000 10000 fp 0.01
3500 13000 fp 0.16
18500 4500 fp 0.5
9500 17000 fnp 128
14500 6000 fp 0.9
15500 14000 fp 0.16
2500 12000 fnp 1024
8500 16000 fp 0.16
7500 11000 fp 0.02
8500 3000 fnp 2048
8500 6500 fp 0.04
13000 17000 fp 0.04
7500 14500 fnp 1024
15500 9000 fnp 512
12500 17000 fnp 128
8500 18000 fp 0.32
3000 8500 fp 0.32
16000 3500 fp 0.5
2500 2500 fnp 64
6500 5500 fp 0.02
10500 5000 fnp 2048
16000 16000 fp 0.32
13000 19000 fnp 160
13500 8000 fnp 32
17000 16500 fp 0.08
2000 18500 fnp 128
11500 3500 fnp 512
10500 2500 fnp 1024
7000 17000 fp 0.01
9500 9500 fnp 512
12500 19500 fnp 32
